LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value	Flag Codes
AUT	GDP	TOT	USD_CAP	A	2004	33753.47239	
AUT	GDP	TOT	USD_CAP	A	2005	35024.55748	
AUT	GDP	TOT	USD_CAP	A	2006	37626.24549	
AUT	GDP	TOT	USD_CAP	A	2007	39393.95357	
AUT	GDP	TOT	USD_CAP	A	2008	41316.02264	
AUT	GDP	TOT	USD_CAP	A	2009	40935.5288	
AUT	GDP	TOT	USD_CAP	A	2010	42017.79654	
AUT	GDP	TOT	USD_CAP	A	2011	44469.20964	
AUT	GDP	TOT	USD_CAP	A	2012	46477.65508	
AUT	GDP	TOT	USD_CAP	A	2013	47936.67796	
AUT	GDP	TOT	USD_CAP	A	2014	48813.53441	
BEL	GDP	TOT	USD_CAP	A	2004	32238.3876	
BEL	GDP	TOT	USD_CAP	A	2005	33331.11566	
BEL	GDP	TOT	USD_CAP	A	2006	35386.11214	
BEL	GDP	TOT	USD_CAP	A	2007	36871.58788	
BEL	GDP	TOT	USD_CAP	A	2008	38133.4023	
BEL	GDP	TOT	USD_CAP	A	2009	38010.54892	
BEL	GDP	TOT	USD_CAP	A	2010	40050.43693	
BEL	GDP	TOT	USD_CAP	A	2011	41450.36053	
BEL	GDP	TOT	USD_CAP	A	2012	42585.15311	
BEL	GDP	TOT	USD_CAP	A	2013	43745.95156	
BEL	GDP	TOT	USD_CAP	A	2014	44720.45806	
CZE	GDP	TOT	USD_CAP	A	2004	20779.14253	
CZE	GDP	TOT	USD_CAP	A	2005	21907.3056	
CZE	GDP	TOT	USD_CAP	A	2006	23712.24244	
CZE	GDP	TOT	USD_CAP	A	2007	26064.50658	
CZE	GDP	TOT	USD_CAP	A	2008	27724.41877	
CZE	GDP	TOT	USD_CAP	A	2009	27474.19799	
CZE	GDP	TOT	USD_CAP	A	2010	27554.74286	
CZE	GDP	TOT	USD_CAP	A	2011	28795.81603	
CZE	GDP	TOT	USD_CAP	A	2012	29051.39042	
CZE	GDP	TOT	USD_CAP	A	2013	30496.02004	
CZE	GDP	TOT	USD_CAP	A	2014	32265.04516	
DNK	GDP	TOT	USD_CAP	A	2004	32917.96331	
DNK	GDP	TOT	USD_CAP	A	2005	34152.878	
DNK	GDP	TOT	USD_CAP	A	2006	37297.51925	
DNK	GDP	TOT	USD_CAP	A	2007	38978.77412	
DNK	GDP	TOT	USD_CAP	A	2008	41282.99749	
DNK	GDP	TOT	USD_CAP	A	2009	40340.38474	
DNK	GDP	TOT	USD_CAP	A	2010	43004.92224	
DNK	GDP	TOT	USD_CAP	A	2011	44407.95138	
DNK	GDP	TOT	USD_CAP	A	2012	44808.54321	
DNK	GDP	TOT	USD_CAP	A	2013	46742.93884	
DNK	GDP	TOT	USD_CAP	A	2014	47905.4773	
FIN	GDP	TOT	USD_CAP	A	2004	31117.97761	
FIN	GDP	TOT	USD_CAP	A	2005	31993.3762	
FIN	GDP	TOT	USD_CAP	A	2006	34362.81918	
FIN	GDP	TOT	USD_CAP	A	2007	37703.31513	
FIN	GDP	TOT	USD_CAP	A	2008	39969.39226	
FIN	GDP	TOT	USD_CAP	A	2009	37829.81331	
FIN	GDP	TOT	USD_CAP	A	2010	38737.06859	
FIN	GDP	TOT	USD_CAP	A	2011	40683.33742	
FIN	GDP	TOT	USD_CAP	A	2012	40619.93702	
FIN	GDP	TOT	USD_CAP	A	2013	41293.29362	
FIN	GDP	TOT	USD_CAP	A	2014	41462.71674	
FRA	GDP	TOT	USD_CAP	A	2004	29038.56756	
FRA	GDP	TOT	USD_CAP	A	2005	30504.05878	
FRA	GDP	TOT	USD_CAP	A	2006	32441.18078	
FRA	GDP	TOT	USD_CAP	A	2007	34095.40747	
FRA	GDP	TOT	USD_CAP	A	2008	35102.87043	
FRA	GDP	TOT	USD_CAP	A	2009	34693.23638	
FRA	GDP	TOT	USD_CAP	A	2010	35909.16233	
FRA	GDP	TOT	USD_CAP	A	2011	37447.94954	
FRA	GDP	TOT	USD_CAP	A	2012	37684.19807	
FRA	GDP	TOT	USD_CAP	A	2013	39528.47364	
FRA	GDP	TOT	USD_CAP	A	2014	40144.05949	
DEU	GDP	TOT	USD_CAP	A	2004	31826.30826	
DEU	GDP	TOT	USD_CAP	A	2005	32413.54006	
DEU	GDP	TOT	USD_CAP	A	2006	34749.443	
DEU	GDP	TOT	USD_CAP	A	2007	37024.371	
