LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value	Flag Codes	ALPHA2
BEL	POP	TOT	MLN_PER	A	2014	11.22728		BE
CZE	POP	TOT	MLN_PER	A	2014	10.52478		CZ
FIN	POP	TOT	MLN_PER	A	2014	5.472		FI
FRA	POP	TOT	MLN_PER	A	2014	64.06225	B	FR
DEU	POP	TOT	MLN_PER	A	2014	80.896		DE
HUN	POP	TOT	MLN_PER	A	2014	9.863		HU
IRL	POP	TOT	MLN_PER	A	2014	4.6099		IE
ITA	POP	TOT	MLN_PER	A	2014	60.44791		IT
LUX	POP	TOT	MLN_PER	A	2014	0.5497		LU
POL	POP	TOT	MLN_PER	A	2014	38.484		PL
ESP	POP	TOT	MLN_PER	A	2014	46.46405		ES
GBR	POP	TOT	MLN_PER	A	2014	63.65001	B	GB
EST	POP	TOT	MLN_PER	A	2014	1.315819		EE
SVN	POP	TOT	MLN_PER	A	2014	2.061623		SI
