name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Austria,16.7,16.2,14.7,14.6,14.1,14.1,13.9,14.1,13.7,13.6,13.9
Belgium,18.4,18.6,17.7,16.7,17.9,17.9,17.8,18.1,17.4,16.2,16.1
Czech Republic,15.0,14.8,13.1,12.7,12.6,13.2,13.5,14.3,14.7,14.2,13.3
Denmark,12.0,11.3,11.6,10.3,10.7,10.8,9.8,10.2,11.3,10.3,10.6
Estonia,23.5,19.6,17.3,18.2,17.3,19.3,15.9,15.3,16.6,15.3,17.5
Finland,20.0,18.3,19.6,18.2,19.0,18.9,17.3,16.4,15.6,15.8,14.1
France,17.5,17.1,16.5,15.8,16.1,16.2,15.9,15.8,14.6,14.3,
Germany,12.0,11.4,10.7,10.2,10.3,10.3,10.8,10.8,10.5,10.8,10.8
Greece,3.0,3.4,3.3,2.8,3.1,3.2,3.1,3.9,4.2,4.5,4.7
Hungary,26.5,25.2,23.4,23.3,23.4,23.3,23.4,22.8,22.0,19.4,17.8
Ireland,11.5,10.8,10.6,10.4,11.5,11.7,11.0,12.2,12.1,10.9,
Italy,,,5.6,5.7,5.8,5.9,5.8,6.2,6.3,,
Latvia,24.2,24.4,21.1,19.9,23.1,23.1,19.7,19.9,20.5,17.8,18.1
Lithuania,41.1,39.4,31.2,31.0,33.7,34.5,31.6,32.2,29.5,34.8,29.8
Luxembourg,13.5,10.5,13.5,16.2,8.4,9.3,10.3,10.4,9.4,7.3,11.8
Netherlands,9.1,9.4,9.1,8.0,8.4,8.9,9.2,9.5,10.0,10.5,10.4
Poland,15.6,15.5,14.8,13.4,14.4,16.3,15.9,15.3,15.8,15.5,14.8
Portugal,,,,8.9,9.0,8.9,9.3,8.6,9.0,8.7,10.0
Slovakia,12.5,12.6,,,10.7,10.8,11.3,,10.2,10.9,9.7
Slovenia,24.0,23.6,24.6,19.9,18.6,20.0,18.6,19.3,19.3,19.6,16.9
Spain,7.7,7.3,6.9,6.7,7.0,6.9,6.3,6.3,6.9,7.5,7.6
Sweden,12.4,13.1,12.7,11.9,12.2,12.9,11.7,11.4,11.6,12.3,11.4
United Kingdom of Great Britain and Northern Ireland,6.9,6.7,6.7,6.3,6.9,6.8,6.7,6.9,6.9,7.5
