LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value	Flag Codes
AUT	UNEMP	TOT	PC_LF	A	2004	5.49025	B
AUT	UNEMP	TOT	PC_LF	A	2005	5.628417	
AUT	UNEMP	TOT	PC_LF	A	2006	5.246718	B
AUT	UNEMP	TOT	PC_LF	A	2007	4.858952	
AUT	UNEMP	TOT	PC_LF	A	2008	4.129104	
AUT	UNEMP	TOT	PC_LF	A	2009	5.298988	
AUT	UNEMP	TOT	PC_LF	A	2010	4.82168	
AUT	UNEMP	TOT	PC_LF	A	2011	4.566622	
AUT	UNEMP	TOT	PC_LF	A	2012	4.863267	
AUT	UNEMP	TOT	PC_LF	A	2013	5.336031	
AUT	UNEMP	TOT	PC_LF	A	2014	5.621219	
AUT	UNEMP	TOT	PC_LF	A	2015	5.723468	
AUT	UNEMP	TOT	PC_LF	A	2016	6.014071	
AUT	UNEMP	TOT	PC_LF	A	2017	5.500528	
AUT	UNEMP	TOT	PC_LF	A	2018	4.848801	
BEL	UNEMP	TOT	PC_LF	A	2004	8.387378	B
BEL	UNEMP	TOT	PC_LF	A	2005	8.438975	
BEL	UNEMP	TOT	PC_LF	A	2006	8.249064	
BEL	UNEMP	TOT	PC_LF	A	2007	7.459264	
BEL	UNEMP	TOT	PC_LF	A	2008	6.970808	
BEL	UNEMP	TOT	PC_LF	A	2009	7.906314	
BEL	UNEMP	TOT	PC_LF	A	2010	8.293048	B
BEL	UNEMP	TOT	PC_LF	A	2011	7.139795	
BEL	UNEMP	TOT	PC_LF	A	2012	7.537931	
BEL	UNEMP	TOT	PC_LF	A	2013	8.425185	
BEL	UNEMP	TOT	PC_LF	A	2014	8.52289	
BEL	UNEMP	TOT	PC_LF	A	2015	8.481071	
BEL	UNEMP	TOT	PC_LF	A	2016	7.833329	B
BEL	UNEMP	TOT	PC_LF	A	2017	7.088736	
BEL	UNEMP	TOT	PC_LF	A	2018	5.949855	
CZE	UNEMP	TOT	PC_LF	A	2004	8.322025	B
CZE	UNEMP	TOT	PC_LF	A	2005	7.928005	
CZE	UNEMP	TOT	PC_LF	A	2006	7.148034	
CZE	UNEMP	TOT	PC_LF	A	2007	5.321516	
CZE	UNEMP	TOT	PC_LF	A	2008	4.392356	
CZE	UNEMP	TOT	PC_LF	A	2009	6.658732	
CZE	UNEMP	TOT	PC_LF	A	2010	7.279707	B
CZE	UNEMP	TOT	PC_LF	A	2011	6.711369	
CZE	UNEMP	TOT	PC_LF	A	2012	6.977849	
CZE	UNEMP	TOT	PC_LF	A	2013	6.953799	
CZE	UNEMP	TOT	PC_LF	A	2014	6.109115	
CZE	UNEMP	TOT	PC_LF	A	2015	5.046221	
CZE	UNEMP	TOT	PC_LF	A	2016	3.952049	
